data,precip,maxima,minima,horas_insol,temp_media,um_relativa,vel_vento
01/01/1961,0,33.8,22.2,11.7,27.08,67,2.333333
02/01/1961,0,34.7,22.5,9.5,28.06,62.5,1.333333
03/01/1961,0.2,27.7,23.1,2.3,24.32,74.25,2
04/01/1961,2.4,29.4,20.6,8.7,23.56,57.5,2.333333
05/01/1961,0,32.5,18.8,10.1,25.22,63.5,3.666667
06/01/1961,3.8,26.2,21.9,0.4,23.06,80.75,2.666667
07/01/1961,1.6,27.8,15.2,11.7,21.34,57.25,1.666667
08/01/1961,0,33.1,16.4,12,23.86,62,1.333333
09/01/1961,0,35.7,20.6,12.2,27.2,61.25,1.666667
10/01/1961,26.9,26.7,20.7,2.7,22.84,88.25,2.666667
11/01/1961,9.7,28,19.9,12.1,23.08,64.25,2
12/01/1961,0,32.6,19.6,12.2,25.4,70.75,2
13/01/1961,0,36.4,21.4,11.9,28.44,63,1.333333
14/01/1961,0,36.5,25.4,8,30.34,58.5,1.666667
15/01/1961,0,37.5,25.3,10.3,30.8,60,1.666667
16/01/1961,0,37.4,24.8,8.1,30.08,66.5,0.333333
17/01/1961,0,31.4,23.4,0.2,26.42,81.25,2.333333
18/01/1961,14.3,27.4,22.6,5.6,24.36,73.5,3
19/01/1961,0,32.4,22,11.8,26.46,76.75,2.333333
20/01/1961,0,37.4,21.8,11.2,29.6,64,1
21/01/1961,13.9,31.1,24.2,5.4,26.14,77.5,3
22/01/1961,0,26.8,22.1,4.8,23.5,66.25,2.666667
23/01/1961,0,30.5,19.4,11.5,23.9,61.75,2.666667
24/01/1961,0,32,18.2,10.6,24.12,72,2.666667
25/01/1961,0.1,24.6,21.2,0.2,22.24,64.75,3.333333
26/01/1961,0,26.2,18,7.8,21.2,67.5,3
27/01/1961,0,27.6,18.4,11,22.56,59.25,3
28/01/1961,0,28.9,18,10.5,23.2,63.5,2.666667
29/01/1961,0,31.8,20.6,5.9,24.8,64,1.333333
30/01/1961,0,33.6,20.5,11,25.94,59.25,1.666667
31/01/1961,0,36.4,20.5,9.9,27.66,58,1.333333
01/02/1961,0,35.8,22,9.5,26.76,69.75,1.333333
02/02/1961,27.6,32.6,21.5,9.5,25.68,73,3
03/02/1961,0,29.5,22.4,9.3,25.22,71.75,2.333333
04/02/1961,0,29.9,19.8,9.4,24.26,68.25,3
05/02/1961,0,31.6,21.4,7.4,25.36,70,2
06/02/1961,0,33.6,22.8,6.3,26.28,76,1.666667
07/02/1961,1.3,28.4,22.6,2,25.64,77,2
08/02/1961,1.2,28.4,23,7.8,24.56,74.5,2.666667
09/02/1961,0,30.6,18.9,10,23.98,66,2.333333
10/02/1961,0,34.9,20.1,9.5,27.06,65.75,2
11/02/1961,34.1,29.7,22.1,7.1,25.04,78,1.666667
12/02/1961,0,32.3,18.4,10.7,25.38,59,1
13/02/1961,0,26.9,21.8,6.6,23.42,65.25,2.666667
14/02/1961,0,27.7,18.2,11.2,22.74,60.5,4.666667
15/02/1961,0,30.9,20.2,11.5,24.38,59.25,4
16/02/1961,0,31,20.7,10.5,24.86,62.75,3.333333
17/02/1961,0,32.6,20.1,9.3,25.58,67,1.666667
18/02/1961,0,32.6,22.2,8.7,26.28,77.75,2
19/02/1961,3.6,32.9,21.7,11.2,26.16,73.5,1.666667
20/02/1961,0,35,22.4,10.9,28.14,66.25,0
21/02/1961,0,35.9,22,9.1,27.06,72.5,3
22/02/1961,29.1,34.8,22.6,9.7,26.24,77.75,1.666667
23/02/1961,2.9,30.4,23,10.6,26.24,80.25,2.666667
24/02/1961,0,29.8,23.7,6.4,25.96,82.5,4.666667
25/02/1961,0,35.2,23.4,8.9,28.12,76,0.333333
26/02/1961,24.3,27.4,23.3,0.2,24.28,93,1.666667
27/02/1961,27.6,25,20.9,3.8,21.9,74.25,3
